idDrink,strDrink,strAlcoholic,strGlass,strInstructions,ingredients,strDrinkThumb
11000,Mojito,Alcoholic,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,"{'Light rum': '2-3 oz ', 'Lime': 'Juice of 1 ', 'Sugar': '2 tsp ', 'Mint': '2-4 '}",https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg
11001,Old Fashioned,Alcoholic,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.","{'Bourbon': '4.5 cL', 'Angostura bitters': '2 dashes', 'Sugar': '1 cube', 'Water': 'dash'}",https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
11002,Long Island Tea,Alcoholic,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,"{'Vodka': '1/2 oz ', 'Light rum': '1/2 oz ', 'Gin': '1/2 oz ', 'Tequila': '1/2 oz ', 'Lemon': 'Juice of 1/2 ', 'Coca-Cola': '1 splash '}",https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg
11003,Negroni,Alcoholic,Old-fashioned glass,"Stir into glass over ice, garnish and serve.","{'Gin': '1 oz ', 'Campari': '1 oz ', 'Sweet Vermouth': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg
11004,Whiskey Sour,Alcoholic,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.","{'Blended whiskey': '2 oz ', 'Lemon': '1/2 slice ', 'Powdered sugar': '1/2 tsp ', 'Cherry': '1 '}",https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg
11005,Dry Martini,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","{'Gin': '1 2/3 oz ', 'Dry Vermouth': '1/3 oz ', 'Olive': '1 '}",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg
11006,Daiquiri,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,"{'Light rum': '1 1/2 oz ', 'Lime': 'Juice of 1/2 ', 'Powdered sugar': '1 tsp '}",https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg
11007,Margarita,Alcoholic,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.","{'Tequila': '1 1/2 oz ', 'Triple sec': '1/2 oz ', 'Lime juice': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg
11008,Manhattan,Alcoholic,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.","{'Sweet Vermouth': '3/4 oz ', 'Bourbon': '2 1/2 oz Blended ', 'Angostura bitters': 'dash ', 'Ice': '2 or 3 ', 'Maraschino cherry': '1 ', 'Orange peel': '1 twist of '}",https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg
11009,Moscow Mule,Alcoholic,Copper Mug,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,"{'Vodka': '2 oz ', 'Lime juice': '2 oz ', 'Ginger ale': '8 oz '}",https://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg
11690,Mai Tai,Alcoholic,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,"{'Light rum': '1 oz ', 'Orgeat syrup': '1/2 oz ', 'Triple sec': '1/2 oz ', 'Sweet and sour': '1 1/2 oz ', 'Cherry': '1 '}",https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg
17206,Mint Julep,Alcoholic,Collins glass,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.","{'Mint': '4 fresh ', 'Bourbon': '2 1/2 oz ', 'Powdered sugar': '1 tsp ', 'Water': '2 tsp '}",https://www.thecocktaildb.com/images/media/drink/squyyq1439907312.jpg
17207,Pina Colada,Alcoholic,Collins glass,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.","{'Light rum': '3 oz ', 'Coconut milk': '3 tblsp ', 'Pineapple': '3 tblsp '}",https://www.thecocktaildb.com/images/media/drink/upgsue1668419912.jpg
17196,Cosmopolitan,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,"{'Vodka': '1 1/4 oz ', 'Lime juice': '1/4 oz ', 'Cointreau': '1/4 oz ', 'Cranberry juice': '1/4 cup '}",https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
11113,Bloody Mary,Alcoholic,Old-fashioned glass,"Stirring gently, pour all ingredients into highball glass. Garnish.","{'Vodka': '1 1/2 oz ', 'Tomato juice': '3 oz ', 'Lemon juice': '1 dash ', 'Worcestershire sauce': '1/2 tsp ', 'Tabasco sauce': '2-3 drops ', 'Lime': '1 wedge '}",https://www.thecocktaildb.com/images/media/drink/t6caa21582485702.jpg
12528,White Russian,Alcoholic,Old-fashioned glass,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,"{'Vodka': '2 oz ', 'Coffee liqueur': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/vsrupw1472405732.jpg
12127,Sazerac,Alcoholic,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.","{'Ricard': '1 tsp ', 'Sugar': '1/2 tsp superfine ', 'Peychaud bitters': '2 dashes ', 'Water': '1 tsp ', 'Bourbon': '2 oz ', 'Lemon peel': '1 twist of '}",https://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg
11403,Gin And Tonic,Alcoholic,Highball glass,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,"{'Gin': '2 oz ', 'Tonic water': '5 oz ', 'Lime': '1 '}",https://www.thecocktaildb.com/images/media/drink/k0508k1668422436.jpg
12196,Sidecar,Alcoholic,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,"{'Cognac': '2 oz ', 'Cointreau': '1/2 oz ', 'Lemon juice': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/x72sik1606854964.jpg
17197,French 75,Alcoholic,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.","{'Gin': '1 1/2 oz ', 'Sugar': '2 tsp superfine ', 'Lemon juice': '1 1/2 oz ', 'Champagne': '4 oz Chilled ', 'Orange': '1 ', 'Maraschino cherry': '1 '}",https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg
12402,Tom Collins,Alcoholic,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.","{'Gin': '2 oz ', 'Lemon juice': '1 oz ', 'Sugar': '1 tsp superfine ', 'Club soda': '3 oz ', 'Maraschino cherry': '1 ', 'Orange': '1 '}",https://www.thecocktaildb.com/images/media/drink/7cll921606854636.jpg
11202,Caipirinha,Alcoholic,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,"{'Sugar': '2 tsp', 'Lime': '1 ', 'Cachaca': '2 1/2 oz '}",https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg
17205,Mimosa,Alcoholic,Champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","{'Champagne': 'Chilled ', 'Orange juice': '2 oz '}",https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg
12162,Screwdriver,Alcoholic,Highball glass,Mix in a highball glass with ice. Garnish and serve.,{'Vodka': '2 oz '},https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg
11288,Cuba Libre,Alcoholic,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,"{'Light rum': '2 oz ', 'Lime': 'Juice of 1/2 '}",https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg
13621,Tequila Sunrise,Alcoholic,Highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",{'Tequila': '2 measures '},https://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg
17195,Bellini,Alcoholic,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.","{'Champagne': '6 oz ', 'Peach schnapps': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg
13377,Sea breeze,Alcoholic,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,"{'Vodka': '1 1/2 oz ', 'Cranberry juice': '4 oz ', 'Grapefruit juice': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg
