idDrink,strDrink,strAlcoholic,strGlass,strInstructions,ingredients,strDrinkThumb
12256,Sol Y Sombra,Alcoholic,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)","{'Brandy': '1 1/2 oz ', 'Anisette': '1 1/2 oz '}",https://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg
17184,Between The Sheets,Alcoholic,Cocktail glass,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","{'Brandy': '1 oz ', 'Light rum': '1 oz ', 'Triple sec': '1 oz ', 'Lemon juice': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg
12444,Vesuvio,Alcoholic,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","{'Light rum': '1 oz ', 'Sweet Vermouth': '1/2 oz ', 'Lemon': 'Juice of 1/2 ', 'Powdered sugar': '1 tsp ', 'Egg white': '1 '}",https://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg
178343,Michelada,Alcoholic,Pint glass,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
","{'Beer': '4 oz', 'Tomato Juice': '4 oz', 'Lime Juice': '1 tblsp', 'Hot Sauce': 'Dash', 'Worcestershire Sauce': 'Dash', 'Soy Sauce': 'Dash'}",https://www.thecocktaildb.com/images/media/drink/u736bd1605907086.jpg
178357,Pornstar Martini,Alcoholic,Cocktail glass,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.,"{'Vodka': '3 cl', 'Passoa': '3 cl', 'Passion fruit juice': '1 cl', 'Lime': '1 cl', 'Prosecco': '1 shot'}",https://www.thecocktaildb.com/images/media/drink/xjhjdf1630406071.jpg
17213,French Martini,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,"{'Vodka': '4.5 cl', 'Raspberry Liqueur': '1.5 cl', 'pineapple juice': '1.5 cl'}",https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg
17201,Hemingway Special,Alcoholic,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,"{'Rum': '12 parts', 'Grapefruit Juice': '8 parts', 'Maraschino Liqueur': '3 parts', 'Lime Juice': '3 parts'}",https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg
13971,Irish Coffee,Alcoholic,Irish coffee cup,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.","{'Irish whiskey': '1 1/2 oz ', 'Coffee': '8 oz ', 'Sugar': '1 tsp ', 'Whipped cream': '1 tblsp '}",https://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg
11580,John Collins,Alcoholic,Collins glass,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,"{'Bourbon': '2 oz ', 'Lemon juice': '1 oz ', 'Sugar': '1 tsp superfine ', 'Club soda': '3 oz ', 'Maraschino cherry': '1 ', 'Orange': '1 '}",https://www.thecocktaildb.com/images/media/drink/0t4bv71606854479.jpg
11600,Kamikaze,Alcoholic,Cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.","{'Vodka': '1 oz ', 'Triple sec': '1 oz ', 'Lime juice': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg
14195,Snowball,Alcoholic,Highball glass,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,"{'Advocaat': '1 1/2 oz ', 'Lemonade': '8-10 oz cold ', 'Lemon': '1 slice ', 'Ice': 'cubes'}",https://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg
14608,Cream Soda,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,{'Spiced rum': '1 oz '},https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg
17074,Arizona Twister,Alcoholic,Hurricane glass,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.","{'Vodka': '1 shot ', 'Malibu rum': '1 shot ', 'Gold tequila': '1 shot ', 'Orange juice': '1 splash ', 'Pineapple juice': '1 splash ', 'Cream of coconut': '1 splash ', 'Grenadine': '1 dash ', 'Ice': 'crushed ', 'Pineapple': '1 wedge '}",https://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg
12572,Bora Bora,Non alcoholic,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","{'Pineapple juice': '10 cl ', 'Passion fruit juice': '6 cl ', 'Lemon juice': '1 cl ', 'Grenadine': '1 cl '}",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg
17267,Bahama Mama,Alcoholic,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.","{'Rum': '3 parts', 'Dark Rum': '1 part', 'Banana liqueur': '1 part', 'Grenadine': '1 part', 'Pineapple Juice': '2 parts', 'Orange Juice': '2 parts', 'Sweet and Sour': '1 part'}",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg
11117,Blue Lagoon,Alcoholic,Highball glass,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.","{'Vodka': '1 oz ', 'Blue Curacao': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg
15330,Orange Crush,Alcoholic,Shot glass,Add all ingredients to tumbler-Pour as shot,"{'Vodka': '1 oz ', 'Triple sec': '1 oz ', 'Orange juice': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/zvoics1504885926.jpg
17141,Smut,Alcoholic,Beer mug,Throw it all together and serve real cold.,"{'Red wine': '1/3 part ', 'Peach schnapps': '1 shot ', 'Pepsi Cola': '1/3 part ', 'Orange juice': '1/3 part '}",https://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg
14610,ACID,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,"{'151 proof rum': '1 oz Bacardi ', 'Wild Turkey': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg
16354,Arizona Antifreeze,Alcoholic,Shot glass,Pour all ingredients into shot glass and slam !!!!,"{'Vodka': '1/3 oz ', 'Midori melon liqueur': '1/3 oz ', 'Sweet and sour': '1/3 oz '}",https://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg
15266,Avalon,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","{'Vodka': '3 parts', 'Pisang Ambon': '1 part ', 'Apple juice': '6 parts ', 'Lemon juice': '1 1/2 part '}",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg
13020,Sangria,Alcoholic,Pitcher,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,"{'Red wine': '1 bottle ', 'Sugar': '1/2 cup ', 'Orange juice': '1 cup ', 'Lemon juice': '1 cup '}",https://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg
178316,Honey Bee,Alcoholic,Margarita glass,"Shake ingredients with crushed ice
","{'White Rum': '6 cl', 'Honey': '2 cl', 'Lemon Juice': '2 cl'}",https://www.thecocktaildb.com/images/media/drink/vu8l7t1582475673.jpg
178371,Old Cuban,Alcoholic,Cocktail glass,"Shake a handful of mint, 2oz white rum, 1oz of sugar syrup, 1oz lime juice and 2 dashes angostura bitters with ice. Double strain into a glass and top with 2oz of prosecco.","{'White Rum': '2 oz', 'Sugar Syrup': '1 oz', 'Lime Juice': '1 oz', 'Angostura Bitters': '2 dashes', 'Prosecco': '2 oz'}",https://www.thecocktaildb.com/images/media/drink/eo8gfx1699022995.jpg
15691,Zoksel,Alcoholic,Beer pilsner,"No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it.",{'Coca-Cola': ' slice\n'},https://www.thecocktaildb.com/images/media/drink/ft8ed01485620930.jpg
12308,Stone Sour,Alcoholic,Whiskey sour glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.","{'Apricot brandy': '1 oz ', 'Orange juice': '1 oz ', 'Sweet and sour': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg
17189,Monkey Gland,Alcoholic,Cocktail glass,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.","{'Gin': '2 oz ', 'Benedictine': '1 tsp ', 'Orange juice': '1/2 oz ', 'Grenadine': '1 tsp '}",https://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg
12107,Salty Dog,Alcoholic,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)","{'Grapefruit juice': '5 oz ', 'Gin': '1 1/2 oz ', 'Salt': '1/4 tsp '}",https://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg
